TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 13:18:00,107,2775,1,55.79454200000001,49.142253000000004,22,30,2020-11-08 13:18:00,0.01860299008224575,0.006079542473858092
2020-11-08 13:18:00,107,2775,1,55.79454200000001,49.142253000000004,22,30,2020-11-08 13:18:00,0.01860299008224575,0.0
2020-11-08 13:19:00,116,2775,1,55.794305,49.143325,22,0,2020-11-08 13:19:00,0.019692883917799026,0.001089893835553274
2020-11-08 13:19:00,116,2775,1,55.794305,49.143325,22,0,2020-11-08 13:19:00,0.019692883917799026,0.0
2020-11-08 13:20:00,186,2775,1,55.792688,49.148053000000004,22,11,2020-11-08 13:20:00,0.02458522784112953,0.004892343923330503
2020-11-08 13:20:00,186,2775,1,55.792688,49.148053000000004,22,11,2020-11-08 13:20:00,0.02458522784112953,0.0
2020-11-08 13:21:00,188,2775,1,55.789877000000004,49.147268,22,5,2020-11-08 13:21:00,0.024391342111491396,0.00019388572963813244
2020-11-08 13:21:00,188,2775,1,55.789877000000004,49.147268,22,5,2020-11-08 13:21:00,0.024391342111491396,0.0
2020-11-08 13:22:00,97,2775,1,55.788105,49.150017999999996,22,18,2020-11-08 13:22:00,0.027527651734206567,0.0031363096227151714
2020-11-08 13:22:00,97,2775,1,55.788105,49.150017999999996,22,18,2020-11-08 13:22:00,0.027527651734206567,0.0
2020-11-08 13:23:00,112,2775,1,55.787702,49.15338300000001,22,20,2020-11-08 13:23:00,0.030866722858131433,0.003339071123924866
2020-11-08 13:23:00,112,2775,1,55.787702,49.15338300000001,22,20,2020-11-08 13:23:00,0.030866722858131433,0.0
2020-11-08 13:24:00,93,2775,1,55.787062,49.159523,22,19,2020-11-08 13:24:00,0.03695896454177324,0.006092241683641808
2020-11-08 13:24:00,93,2775,1,55.787062,49.159523,22,19,2020-11-08 13:24:00,0.03695896454177324,0.0
2020-11-08 13:25:00,104,2775,1,55.786963,49.160508,22,0,2020-11-08 13:25:00,0.037937839922695005,0.0009788753809217635
2020-11-08 13:25:00,104,2775,1,55.786963,49.160508,22,0,2020-11-08 13:25:00,0.037937839922695005,0.0
2020-11-08 13:26:00,78,2775,1,55.787071999999995,49.169378,22,38,2020-11-08 13:26:00,0.04656567646883588,0.0
